*Frequency 	VM1-abs	VM1-phase (deg)
0.1	2.76733588514064E-6	0.00126084405271901
0.114815362149688	2.75654456784453E-6	0.0010966158235586
0.131825673855641	2.74421936556978E-6	0.000953974391157156
0.151356124843621	2.72968295724484E-6	0.000830039431790726
0.173780082874938	2.71210938447001E-6	0.000722324972846308
0.199526231496888	2.69049780411138E-6	0.000628683122390935
0.229086765276777	2.66365215049691E-6	0.000547256298348776
0.263026799189538	2.63017656819345E-6	0.000476436619983713
0.301995172040202	2.58849813550936E-6	0.000414831296221671
0.346736850452532	2.53693298983782E-6	0.000361233047615206
0.398107170553497	2.47381179938407E-6	0.000314594782242441
0.457088189614875	2.39767305305466E-6	0.000274007856530481
0.524807460249773	2.30751571277166E-6	0.000238683426607679
0.602559586074358	2.2030746684433E-6	0.00020793636108988
0.691830970918937	2.0850525608442E-6	0.000181171409044075
0.794328234724281	1.95522652271598E-6	0.000157871234604785
0.91201083935591	1.81636716661645E-6	0.000137586113466481
1.0471285480509	1.67196137919956E-6	0.000119924986522577
1.20226443461741	1.52580016171714E-6	0.000104547748666151
1.38038426460288	1.38153884100664E-6	9.11585538953825E-5
1.58489319246111	1.24233607174448E-6	7.95000127425628E-5
1.81970085860998	1.11063597305728E-6	6.93481641593937E-5
2.08929613085404	9.881017353898E-7	6.05081117875561E-5
2.39883291901949	8.75668039492252E-7	5.28102361130979E-5
2.75422870333817	7.73663171344396E-7	4.6106899767189E-5
3.16227766016838	6.81956305795708E-7	4.02695938413662E-5
3.63078054770101	6.00099054096169E-7	3.51864491524193E-5
4.16869383470335	5.27445184406048E-7	3.0760080157491E-5
4.78630092322638	4.63243163919107E-7	2.69057044364382E-5
5.49540873857625	4.06702909048973E-7	2.3549510857513E-5
6.30957344480193	3.57040814576279E-7	2.0627237714493E-5
7.2443596007499	3.13508188057055E-7	1.80829384028735E-5
8.3176377110267	2.75407478185397E-7	1.5867903665401E-5
9.54992586021436	2.42100176771808E-7	1.39397272866968E-5
10.9647819614319	2.13009136158414E-7	1.22614895620707E-5
12.5892541179417	1.87617393638148E-7	1.08010484139364E-5
14.4543977074593	1.65464906919798E-7	9.53042070179035E-6
16.5958690743756	1.46144183271049E-7	8.42524390666882E-6
