*Frequency 	VM1-abs (dB)	VM1-phase (deg)
0.1	-11.2155104536081	-90.3012132522079
0.10162486928707	-11.0755123558288	-90.3061075477425
0.10327614057614	-10.9355143203683	-90.3110813678895
0.104954242865232	-10.7955163492681	-90.316136004756
0.106659612123026	-10.6555184446368	-90.3212727714407
0.10839269140212	-10.515520608652	-90.3264930023754
0.110153930954142	-10.3755228435625	-90.3317980536709
0.111943788346715	-10.2355251516908	-90.3371893034696
0.113762728582343	-10.0955275354357	-90.3426681523029
0.11561122421921	-9.95552999727447	-90.3482360234551
0.117489755493953	-9.81553253976539	-90.3538943633326
0.119398810446427	-9.6755351655507	-90.3596446418397
0.121338885046498	-9.53553787735918	-90.3654883527599
0.123310483322891	-9.39554067800897	-90.3714270141442
0.125314117494142	-9.25554357041056	-90.3774621687043
0.127350308101666	-9.11554655756976	-90.3835953842138
0.129419584144999	-8.97554964259089	-90.389828253915
0.131522483219224	-8.83555282867989	-90.3961623969322
0.133659551654644	-8.6955561191478	-90.4025994586922
0.135831344658715	-8.55555951741409	-90.4091411113511
0.138038426460288	-8.41556302701027	-90.4157890542288
0.140281370456196	-8.2755666515835	-90.4225450142494
0.142560759360219	-8.13557039490045	-90.4294107463899
0.144877185354476	-7.99557426085118	-90.4363880341353
0.147231250243272	-7.85557825345316	-90.4434786899416
0.149623565609443	-7.71558237685548	-90.450684555706
0.15205475297325	-7.57558663534317	-90.4580075032452
0.154525443953841	-7.43559103334159	-90.4654494347805
0.157036280433355	-7.2955955754211	-90.4730122834319
0.159587914723673	-7.15560026630176	-90.4806980137193
0.162181009735893	-7.01560511085826	-90.4885086220725
0.164816239152551	-6.87561011412495	-90.4964461373488
0.167494287602644	-6.73561528130114	-90.5045126213597
0.170215850839495	-6.59562061775642	-90.5127101694053
0.17298163592151	-6.45562612903628	-90.5210409108182
0.175792361395869	-6.31563182086789	-90.5295070095157
0.178648757485205	-6.17563769916599	-90.538110664561
0.181551566277314	-6.03564377003911	-90.5468541107334
0.184501541917947	-5.89565003979586	-90.5557396191083
0.187499450806742	-5.75565651495147	-90.5647694976457
0.190546071796325	-5.61566320223465	-90.5739460917888
0.193642196394661	-5.47567010859447	-90.5832717850724
0.196788628970684	-5.33567724120767	-90.5927489997406
0.199986186963274	-5.19568460748602	-90.6023801973747
0.203235701093622	-5.05569221508413	-90.612167879532
0.206538015581053	-4.91570007190728	-90.6221145883933
0.209893988362352	-4.77570818611977	-90.6322229074227
0.213304491314658	-4.63571656615326	-90.6424954620366
0.21677041048197	-4.49572522071563	-90.6529349202847
0.220292646305346	-4.35573415879998	-90.6635439935406
0.223872113856834	-4.21574338969398	-90.6743254372053
0.227509743077207	-4.07575292298952	-90.6852820514204
0.231206479017559	-3.93576276859265	-90.696416681794
0.234963282084831	-3.79577293673392	-90.7077322201375
0.238781128291318	-3.65578343797895	-90.7192316052152
0.242661009508242	-3.51579428323944	-90.7309178235048
0.246603933723434	-3.37580548378446	-90.7427939099713
0.250610925303211	-3.23581705125222	-90.7548629488528
0.254683025258504	-3.09582899766211	-90.7671280744591
0.258821291515309	-2.95584133542717	-90.7795924719829
0.263026799189538	-2.81585407736701	-90.792259378325
0.267300640866331	-2.67586723672113	-90.8051320829312
0.271643926883908	-2.53588082716263	-90.8182139286444
0.276057785622035	-2.39589486281244	-90.8315083125692
0.280543363795171	-2.25590935825397	-90.8450186869512
0.285101826750391	-2.11592432854825	-90.8587485600697
0.289734358770132	-1.97593978924957	-90.8727014971455
0.294442163379876	-1.83595575642164	-90.886881121263
0.299226463660819	-1.69597224665424	-90.9012911143066
0.304088502567628	-1.5559892770805	-90.9159352179134
0.309029543251359	-1.41600686539461	-90.93081723444
0.314050869387622	-1.27602502987024	-90.9459410279452
0.319153785510076	-1.13604378937949	-90.9613105251889
0.324339617349349	-0.996063163412506	-90.9769297166468
0.329609712177458	-0.856083172097678	-90.9928026575405
0.334965439157828	-0.716103836222538	-91.008933468886
0.340408189701001	-0.576125177255372	-91.025326338557
0.345939377826122	-0.436147217367438	-91.0419855223667
0.351560440528298	-0.296169979456034	-91.058915345166
0.357272838151929	-0.156193487168239	-91.0761202019599
0.363078054770101	-0.016217764925431	-91.0936045590416
0.36897759857015	0.123757162051346	-91.1113729551443
0.374973002245484	0.26373126771518	-91.1294300026121
0.381065823393773	0.403704525166354	-91.1477803885888
0.387257644921617	0.54367690662437	-91.1664288762269
0.393550075455777	0.683648383399134	-91.1853803059142
0.399944749761097	0.823618925861197	-91.2046395965218
0.406443329165213	0.963588503411037	-91.2242117466703
0.413047501990161	1.10355708444731	-91.2441018360176
0.419758983991007	1.24352463633406	-91.2643150265659
0.426579518801593	1.38349112536687	-91.2848565639907
0.433510878387529	1.52345651673793	-91.3057317789899
0.440554863506553	1.66342077449993	-91.3269460886552
0.447713304176363	1.80338386152877	-91.3485049978643
0.454988060150049	1.94334573948508	-91.3704141006962
0.46238102139926	2.08330636877449	-91.3926790818682
0.469894108605215	2.22326570850654	-91.4153057181959
0.477529273657691	2.36322371645233	-91.4382998800762
0.485288500162121	2.50318034900073	-91.4616675329938
0.493173803954936	2.64313556111317	-91.4854147390519
0.501187233627272	2.78308930627701	-91.5095476585259
0.509330871057195	2.92304153645726	-91.5340725514428
0.517606831950568	3.06299220204691	-91.5589957791849
0.526017266390706	3.20294125181544	-91.5843238061188
0.534564359396972	3.34288863285582	-91.6100632012494
0.543250331492433	3.48283429052965	-91.6362206399016
0.552077439280757	3.62277816841061	-91.6628029054259
0.561047976032471	3.76272020822603	-91.6898168909326
0.570164272280748	3.90266034979648	-91.7172696010523
0.579428696426881	4.04259853097355	-91.7451681537243
0.588843655355589	4.18253468757547	-91.7735197820119
0.59841159506032	4.32246875332065	-91.8023318359475
0.608135001278718	4.46240065975915	-91.831611784405
0.618016400138416	4.60233033620177	-91.8613672170019
0.628058358813318	4.74225770964696	-91.8916058460308
0.638263486190549	4.88218270470527	-91.9223355084208
0.648634433548239	5.02210524352137	-91.953564167729
0.659173895244321	5.16202524569356	-91.985299916163
0.669884609416526	5.3019426281906	-92.0175509766342
0.680769358693742	5.44185730526586	-92.0503257048428
0.691830970918937	5.58176918836871	-92.0836325913949
0.703072319883833	5.72167818605299	-92.1174802639519
0.714496326075513	5.86158420388248	-92.1518774894123
0.726105957435155	6.0014871443334	-92.1868331761275
0.737904230129101	6.14138690669361	-92.2223563761508
0.749894209332456	6.28128338695864	-92.2584562875204
0.762079010025412	6.42117647772429	-92.2951422565774
0.774461797802519	6.56106606807573	-92.3324237803183
0.787045789695099	6.70095204347308	-92.3703105087834
0.799834255007028	6.84083428563319	-92.4088122474805
0.812830516164099	6.98071267240759	-92.4479389598453
0.826037949577179	7.12058707765657	-92.4877007697385
0.839459986519398	7.26045737111909	-92.5281079639798
0.85310011401759	7.4003234182785	-92.5691709949199
0.866961875758217	7.54018508022388	-92.61090048305
0.881048873008014	7.68004221350704	-92.6533072196504
0.895364765549594	7.81989466999461	-92.6964021694774
0.909913272632252	7.95974229671564	-92.7401964734898
0.924698173938222	8.09958493570407	-92.7847014516156
0.939723310564638	8.23942242383622	-92.829928605558
0.954992586021436	8.37925459266294	-92.8758896216424
0.97050996724549	8.51908126823643	-92.9225963737048
0.98627948563121	8.65890227093137	-92.9700609260211
1.0023052380779	8.7987174152604	-93.0182955362783
1.01859138805412	8.9385265096835	-93.0673126585882
1.03514216667934	9.07832935641136	-93.1171249465434
1.05196187382322	9.21812575120235	-93.1677452563164
1.06905487922266	9.35791548315294	-93.2191866498024
1.08642562361707	9.49769833448142	-93.2714623978051
1.10407861990207	9.63747408030461	-93.324585983267
1.12201845430196	9.77724248840747	-93.3785711045446
1.14024978756117	9.91700331900521	-93.4334316787272
1.15877735615513	10.0567563244979	-93.4891818450021
1.17760597352081	10.1965012492169	-93.5458359680638
1.19674053130724	10.3362378291637	-93.6034086415698
1.21618600064637	10.4759657917398	-93.6619146916423
1.23594743344451	10.6156848554686	-93.7213691804152
1.25602996369487	10.7553947297073	-93.7817874096286
1.27643880881134	10.8950951143512	-93.8431849242689
1.29717927098396	11.0347856995269	-93.9055775162564
1.31825673855641	11.1744661652771	-93.9689812281791
1.33967668742594	11.3141361812341	-94.0334123570746
1.36144468246595	11.4537954062839	-94.0988874582581
1.38356637897178	11.5934434882195	-94.165423349198
1.40604752412991	11.7330800633821	-94.2330371134391
1.4288939585111	11.8727047562927	-94.3017461045726
1.45211161758774	12.0123171792701	-94.3715679502537
