*Frequency 	VM1-abs (dB)	VM1-phase (deg)
0.001	-57.6798294259584	-97.9973782631807
0.00102093948370768	-57.509905597808	-97.8509549915022
0.0010423174293933	-57.3396103933738	-97.7067830470197
0.00106414301822432	-57.1689562780119	-97.5648667983967
0.00108642562361707	-56.9979557258558	-97.4251698544725
0.0011091748152624	-56.8266185793281	-97.287767912062
0.00113240036323556	-56.6549585753128	-97.1525595249168
0.0011561122421921	-56.4829857184916	-97.0195592490152
0.00118032063565173	-56.3107106826004	-96.8888047028286
0.0012050359403718	-56.1381445104712	-96.760206102709
0.00123026877081238	-55.9652969862587	-96.6338147873597
0.00125602996369487	-55.7921779046159	-96.5096021781042
0.00128233058265602	-55.6187974984795	-96.3875125101987
0.00130918192299941	-55.4451637799672	-96.2676007674649
0.00133659551654644	-55.2712867908743	-96.1498213494635
0.00136458313658892	-55.0971752997351	-96.0341342975544
0.0013931568029453	-54.922837670716	-95.9205012901724
0.00142232878712282	-54.7482816484085	-95.808985041659
0.00145211161758774	-54.5735153613127	-95.6994941871476
0.00148251808514595	-54.3985470566433	-95.5920207500999
0.00151356124843621	-54.2233837453397	-95.4865496636525
0.00154525443953841	-54.0480324932524	-95.383069649898
0.00157761126969935	-53.8725009036313	-95.2815232821466
0.00161064563517827	-53.6967946704655	-95.1819595318224
0.00164437172321493	-53.520921187266	-95.0842668943837
0.00167880401812256	-53.3448866438325	-94.9884671571937
0.00171395730750843	-53.168696391459	-94.8945477509591
0.00174984668862466	-52.9923576087323	-94.8024336814519
0.00178648757485205	-52.8158747342632	-94.7121616432143
0.00182389570231964	-52.6392537889391	-94.6236710267953
0.00186208713666287	-52.4625000813813	-94.5369314932955
0.0019010782799233	-52.2856182346473	-94.451952047221
0.00194088587759278	-52.1086133872089	-94.3686772407508
0.0019815270258051	-51.9314900885957	-94.2870997770242
0.00202301917867827	-51.7542533512237	-94.2072009426151
0.00206538015581053	-51.5769073279183	-94.1289313243233
0.00210862814993329	-51.3994562294864	-94.0522997055923
0.00215278173472437	-51.2219037673855	-93.9772552803172
0.00219785987278482	-51.0442547732064	-93.9037841243867
0.00224388192378277	-50.8665119686916	-93.8318586187121
0.00229086765276777	-50.6886798166404	-93.7614581867628
0.00233883723865935	-50.5107613411379	-93.6925579841577
0.00238781128291318	-50.3327600912804	-93.625146133874
0.00243781081836875	-50.1546792004611	-93.559200838429
0.00248885731828239	-49.9765218700962	-93.4946708342372
0.0025409727055493	-49.7982913248256	-93.4315405568
0.00259417936211881	-49.6199898796893	-93.3698207692697
0.0026485001386067	-49.4416209444489	-93.3094665243432
0.00270395836410884	-49.2631868714367	-93.250459475118
0.00276057785622035	-49.0846903463714	-93.192774133484
0.00281838293126445	-48.9061335468511	-93.1364148338526
0.00287739841473567	-48.7275193681239	-93.0813187477958
0.00293764965196153	-48.5488496223291	-93.0274971916353
0.00299916251898765	-48.3701266888161	-92.9749082616378
0.00306196343369068	-48.1913529432022	-92.9235699735047
0.00312607936712395	-48.0125298171681	-92.8734291900115
0.00319153785510076	-47.8336600627566	-92.8244658655184
0.00325836701002009	-47.6547446484827	-92.7766909127775
0.00332659553294004	-47.4757862730538	-92.7300509808579
0.00339625272590408	-47.2967862646619	-92.6845561264969
0.00346736850452532	-47.1177459431837	-92.6401851824991
0.00353997341083435	-46.9386674674638	-92.5969050435815
0.00361409862639613	-46.7595520564412	-92.5547169093099
0.0036897759857015	-46.5804017399348	-92.513585982639
0.00376703798983909	-46.4012168825202	-92.4735142668924
0.00384591782045354	-46.221999876234	-92.4344773735059
0.003926449353996	-46.042751547934	-92.3964584216737
0.00400866717627303	-45.8634733582486	-92.3594470666838
0.00409260659730011	-45.6841664660096	-92.3234315174628
0.00417830366646622	-45.5048318759683	-92.2883895320967
0.00426579518801593	-45.3254709704742	-92.2543090622294
0.00435511873685569	-45.1460845629029	-92.221188543503
0.00444631267469109	-44.966673863022	-92.1889971939086
0.00453941616650203	-44.7872398548128	-92.1577309301147
0.00463446919736288	-44.6077832829998	-92.1273707030525
0.0047315125896148	-44.4283052887342	-92.0979290757201
0.00483058802039773	-44.2488069124995	-92.0693597248833
0.00493173803954936	-44.0692887670409	-92.0416659289415
0.00503500608787905	-43.8897515603542	-92.014846829615
0.00514043651582426	-43.7101964241025	-91.9888753568225
0.00524807460249773	-43.5306236771223	-91.9637492712181
0.00535796657513342	-43.3510345907705	-91.9394553422678
0.00547015962893972	-43.1714294040782	-91.9159947529253
0.00558470194736831	-42.9918089881624	-91.8933341754081
0.00570164272280747	-42.8121739979134	-91.8714887529571
0.00582103217770871	-42.6325247591725	-91.8504362674258
0.00594292158615572	-42.4528623438809	-91.8301603946799
0.00606736329588505	-42.2731870554404	-91.8106799695857
0.00619441075076781	-42.0934993417148	-91.7919717001779
0.0063241185137622	-41.9138000748167	-91.7740138001534
0.00645654229034655	-41.7340894343742	-91.7568178111743
0.00659173895244321	-41.5543681255716	-91.740372978398
0.00672976656284318	-41.3746364051836	-91.7246731643874
0.00687068440014232	-41.1948950765115	-91.7096996233156
0.00701455298419971	-41.0151442542621	-91.6954721677057
0.00716143410212902	-40.8353846108726	-91.6819565187868
0.00731139083483417	-40.6556163666817	-91.6691606743066
0.00746448758410066	-40.4758400468421	-91.6570799214867
0.00762079010025412	-40.296055740939	-91.6457087036963
